property_id,living_area_sqft,lot_area_sqft,bedrooms,bathrooms,house_age_years,neighborhood,condition,garage_spaces,has_basement,distance_to_center_km,sale_price
PROP00050,2206.0,5481.0,2,1.2,19,suburb_north,fair,1,0,4.1,432063.0
PROP00051,1464.0,4287.0,1,1.0,67,downtown,poor,3,0,2.1,220265.0
PROP00052,1441.0,6048.0,3,1.7,15,suburb_south,good,1,0,13.3,248814.0
PROP00053,2225.0,9322.0,4,2.6,64,rural,good,2,0,38.9,221037.0
PROP00054,2013.0,5566.0,2,1.4,16,suburb_north,poor,0,1,10.2,345580.0
PROP00055,500.0,2476.0,1,1.0,32,riverside,good,0,1,10.8,133567.0
PROP00056,1713.0,3717.0,3,2.9,48,riverside,good,2,0,11.9,407601.0
PROP00057,1869.0,8255.0,3,1.9,15,suburb_north,fair,2,1,16.5,363609.0
PROP00058,1613.0,5787.0,3,2.2,76,suburb_south,good,2,0,11.2,283529.0
PROP00059,1888.0,4407.0,4,2.8,66,suburb_north,fair,1,1,4.0,332032.0
PROP00060,805.0,3594.0,1,1.0,1,suburb_north,excellent,3,1,8.2,266430.0
PROP00061,500.0,2313.0,1,1.1,81,suburb_north,fair,2,0,12.4,68416.0
PROP00062,1263.0,4608.0,2,1.5,68,downtown,good,3,1,1.7,326559.0
PROP00063,1955.0,10071.0,2,1.6,80,riverside,good,1,0,14.5,417927.0
PROP00064,500.0,1970.0,1,1.0,57,riverside,fair,1,1,,98128.0
PROP00065,1336.0,4008.0,2,1.3,60,suburb_north,good,1,0,5.1,238617.0
PROP00066,742.0,4307.0,1,1.0,36,suburb_south,excellent,2,1,6.5,187005.0
PROP00067,1667.0,9610.0,3,1.2,21,suburb_north,good,2,1,16.1,358811.0
PROP00068,2877.0,6334.0,5,3.6,22,downtown,poor,2,1,3.4,564762.0
PROP00069,1681.0,9705.0,3,2.9,30,suburb_south,good,0,1,10.8,310845.0
PROP00070,1741.0,8804.0,3,2.1,27,downtown,fair,1,1,,479479.0
PROP00071,2262.0,5085.0,3,2.3,72,riverside,good,0,0,16.8,418142.0
PROP00072,1812.0,7214.0,3,2.4,50,suburb_north,good,2,1,16.3,427424.0
PROP00073,1682.0,3275.0,3,1.5,39,riverside,good,1,1,9.0,391102.0
PROP00074,2310.0,9871.0,3,2.4,69,suburb_north,poor,0,1,14.3,320209.0
PROP00075,2060.0,11782.0,5,2.8,70,suburb_north,fair,1,1,16.7,379668.0
PROP00076,1959.0,6556.0,2,2.4,89,riverside,poor,0,0,7.7,289237.0
PROP00077,1724.0,6786.0,1,1.0,29,suburb_south,good,3,0,7.9,346415.0
PROP00078,1610.0,4437.0,3,2.4,23,suburb_north,good,1,0,11.2,299343.0
PROP00079,2304.0,9382.0,4,2.4,0,rural,good,3,0,34.4,291720.0
PROP00080,1615.0,8351.0,2,2.4,15,suburb_north,poor,2,1,14.4,109251.0
PROP00081,2477.0,6698.0,3,1.8,57,downtown,fair,2,0,3.4,546207.0
PROP00082,1224.0,5049.0,1,1.5,77,suburb_north,good,2,1,6.2,229361.0
PROP00083,2589.0,8517.0,5,3.3,57,suburb_south,good,2,0,8.3,475350.0
PROP00084,2060.0,10179.0,4,2.7,95,suburb_south,excellent,2,1,13.1,395843.0
PROP00085,1267.0,6016.0,3,2.1,60,riverside,fair,0,0,3.8,221810.0
PROP00086,2080.0,9849.0,2,1.2,84,suburb_south,fair,3,0,8.1,309253.0
PROP00087,1442.0,4884.0,1,1.0,25,suburb_north,good,1,1,3.2,331928.0
PROP00088,1818.0,7848.0,2,1.9,31,suburb_north,good,1,0,15.3,352059.0
PROP00089,1532.0,6947.0,3,1.8,77,downtown,good,1,1,1.6,318934.0
PROP00090,1727.0,8047.0,3,2.5,63,riverside,fair,2,1,4.2,356356.0
PROP00091,2318.0,9773.0,4,2.6,46,downtown,poor,1,0,1.3,465964.0
PROP00092,2085.0,11344.0,4,3.0,91,suburb_south,good,1,1,4.3,405106.0
PROP00093,1181.0,3360.0,2,1.8,73,suburb_south,fair,0,0,13.3,131284.0
PROP00094,1213.0,2468.0,1,1.0,28,riverside,good,1,0,8.7,274169.0
PROP00095,1949.0,11387.0,4,2.7,58,downtown,fair,0,1,2.5,408898.0
PROP00096,1989.0,4088.0,3,1.9,38,suburb_north,fair,2,0,5.7,369596.0
PROP00097,1429.0,7992.0,1,1.5,39,rural,fair,1,0,23.9,179558.0
PROP00098,2675.0,11694.0,5,3.2,77,suburb_south,excellent,3,1,6.4,520892.0
PROP00099,2247.0,12715.0,3,2.2,65,suburb_south,poor,2,1,17.0,322880.0
PROP00100,1456.0,6076.0,3,1.9,1,riverside,fair,2,1,15.4,391152.0
PROP00101,1403.0,7363.0,2,1.1,55,rural,excellent,3,1,21.0,218251.0
PROP00102,1675.0,8089.0,3,1.8,62,suburb_north,fair,1,1,6.1,266831.0
PROP00103,1617.0,6477.0,3,1.3,49,rural,fair,2,1,25.4,225757.0
PROP00104,2491.0,8285.0,3,1.8,28,downtown,fair,0,0,2.6,567879.0
PROP00105,2341.0,4242.0,4,1.9,62,rural,good,0,0,22.2,292994.0
PROP00106,1819.0,5191.0,3,1.4,90,downtown,good,1,1,3.7,361996.0
PROP00107,2173.0,12598.0,4,2.5,8,suburb_north,excellent,2,0,3.3,581014.0
PROP00108,2253.0,6662.0,4,2.7,57,downtown,good,2,0,2.0,620288.0
PROP00109,1832.0,9083.0,3,2.0,87,riverside,good,1,1,3.6,374459.0
PROP00110,2021.0,7954.0,4,2.3,38,rural,fair,2,1,28.0,265809.0
PROP00111,2127.0,6585.0,2,1.1,32,suburb_north,good,1,1,9.4,371031.0
PROP00112,2068.0,12331.0,3,1.9,23,suburb_north,excellent,0,0,4.2,441035.0
PROP00113,1372.0,2740.0,2,1.2,21,suburb_north,excellent,0,1,15.0,277996.0
PROP00114,1427.0,6057.0,3,2.0,37,downtown,poor,2,0,3.1,304168.0
PROP00115,1641.0,6135.0,3,1.4,74,riverside,good,2,1,16.2,325262.0
PROP00116,1411.0,2993.0,3,2.3,17,downtown,good,1,0,2.4,393722.0
PROP00117,990.0,2672.0,1,1.0,22,rural,excellent,0,1,29.8,137598.0
PROP00118,2172.0,10243.0,3,2.2,95,rural,fair,2,1,26.3,239417.0
PROP00119,1991.0,4490.0,3,2.4,95,downtown,good,2,0,1.3,387340.0
PROP00120,1063.0,5490.0,3,2.1,21,suburb_south,good,0,1,9.1,232226.0
PROP00121,1667.0,7377.0,2,1.8,40,rural,excellent,2,0,18.0,224775.0
PROP00122,1699.0,3778.0,3,1.2,38,rural,good,2,0,24.6,226106.0
PROP00123,1900.0,5709.0,3,1.8,28,riverside,excellent,2,0,11.2,469656.0
PROP00124,1205.0,2863.0,1,1.4,14,downtown,good,0,1,2.4,329572.0
PROP00125,1055.0,5433.0,1,1.2,5,downtown,fair,3,0,3.0,260973.0
PROP00126,2086.0,8424.0,4,3.2,58,riverside,good,2,1,8.1,503671.0
PROP00127,956.0,1732.0,2,2.2,4,suburb_north,excellent,1,1,3.8,276673.0
PROP00128,1672.0,6822.0,1,1.1,59,suburb_south,fair,2,1,17.5,254351.0
PROP00129,1621.0,6205.0,2,1.4,9,riverside,good,2,0,15.7,325654.0
PROP00130,1732.0,7796.0,4,2.1,14,suburb_north,excellent,2,1,7.6,399949.0
PROP00131,1939.0,3774.0,4,2.3,0,downtown,excellent,2,0,1.3,573615.0
PROP00132,2679.0,5221.0,5,2.8,38,suburb_north,good,0,0,14.0,545369.0
PROP00133,920.0,3006.0,1,1.0,31,rural,good,2,1,26.9,139513.0
PROP00134,2282.0,10707.0,5,2.6,31,suburb_north,fair,1,1,12.1,437560.0
PROP00135,500.0,2300.0,1,1.2,29,downtown,good,2,0,2.9,156622.0
PROP00136,2567.0,7621.0,5,3.7,90,rural,good,1,0,21.7,288574.0
PROP00137,676.0,1830.0,1,1.4,41,suburb_south,good,0,0,7.3,122131.0
PROP00138,3140.0,14661.0,4,2.4,77,suburb_south,fair,1,0,3.9,495670.0
PROP00139,1586.0,3035.0,3,2.4,22,riverside,fair,2,0,7.8,358469.0
PROP00140,2510.0,10388.0,4,2.6,46,suburb_north,good,2,0,12.0,546947.0
PROP00141,2396.0,8581.0,4,2.5,6,rural,good,2,0,21.8,332962.0
PROP00142,1560.0,4374.0,1,1.0,24,rural,excellent,0,0,24.0,222600.0
PROP00143,1602.0,6384.0,4,2.4,6,suburb_north,good,1,1,13.8,316659.0
PROP00144,1340.0,3634.0,2,1.8,1,suburb_north,excellent,2,1,6.1,368668.0
PROP00145,2233.0,9312.0,5,3.1,17,suburb_north,good,1,1,11.0,536188.0
PROP00146,1567.0,3801.0,2,1.2,15,suburb_south,good,2,0,8.9,269684.0
PROP00147,1350.0,4730.0,2,1.2,30,suburb_south,good,3,1,8.7,289808.0
PROP00148,2096.0,8266.0,4,2.6,71,suburb_south,fair,2,0,11.4,360070.0
PROP00149,1307.0,2527.0,2,1.7,14,rural,fair,1,1,27.8,167182.0
PROP00150,1619.0,7067.0,3,1.9,58,suburb_south,excellent,2,0,6.2,331429.0
PROP00151,1859.0,9205.0,2,1.0,35,riverside,fair,3,1,5.2,457336.0
PROP00152,1447.0,8415.0,2,2.0,38,suburb_south,good,2,0,5.6,282523.0
PROP00153,1530.0,4059.0,3,2.4,88,suburb_south,fair,2,1,12.8,241855.0
PROP00154,2644.0,7077.0,3,1.2,44,downtown,good,1,0,1.1,507767.0
PROP00155,1688.0,5200.0,2,2.0,25,suburb_south,fair,2,1,12.8,308792.0
PROP00156,1602.0,8877.0,2,1.4,22,suburb_south,good,0,1,17.8,303311.0
PROP00157,1704.0,5979.0,3,2.1,16,downtown,good,2,0,2.5,409377.0
PROP00158,2050.0,6288.0,4,3.0,76,riverside,fair,3,1,7.2,386353.0
PROP00159,1231.0,6048.0,2,2.2,63,suburb_south,good,3,0,16.1,225997.0
PROP00160,2035.0,3988.0,3,2.4,25,suburb_north,excellent,0,1,4.0,446783.0
PROP00161,1941.0,7968.0,5,3.1,47,riverside,good,2,0,4.5,500476.0
PROP00162,816.0,3012.0,1,1.0,48,suburb_north,excellent,0,1,17.2,167432.0
PROP00163,2787.0,12331.0,4,1.7,4,suburb_south,good,2,1,12.8,524943.0
PROP00164,2603.0,12678.0,4,2.9,87,suburb_south,good,2,1,16.9,422013.0
PROP00165,1360.0,4304.0,2,2.0,75,downtown,good,2,1,2.8,1087554.0
PROP00166,1183.0,5292.0,2,1.2,51,suburb_north,excellent,1,1,14.5,270982.0
PROP00167,1925.0,7704.0,4,2.4,68,suburb_north,good,2,1,6.5,394187.0
PROP00168,1016.0,2400.0,2,1.3,10,suburb_north,good,2,0,8.2,231111.0
PROP00169,2550.0,14033.0,5,2.8,93,suburb_south,excellent,2,1,16.5,520517.0
PROP00170,1542.0,7663.0,3,2.4,61,downtown,excellent,2,0,0.5,452079.0
PROP00171,2692.0,15266.0,4,2.6,90,rural,good,2,1,16.8,363809.0
PROP00172,1347.0,6500.0,2,1.4,82,suburb_north,fair,1,0,16.3,196601.0
PROP00173,1738.0,4915.0,4,3.6,56,suburb_north,good,0,1,16.1,348353.0
PROP00174,2497.0,9010.0,3,1.4,27,rural,good,2,1,35.4,284857.0
PROP00175,1622.0,5555.0,4,2.7,65,suburb_south,good,2,1,5.4,307556.0
PROP00176,1950.0,3803.0,3,1.6,49,suburb_south,good,1,0,16.8,351532.0
PROP00177,2401.0,8462.0,4,2.4,39,suburb_south,good,0,0,11.4,413737.0
PROP00178,1494.0,4858.0,2,1.6,68,rural,fair,3,1,18.7,185286.0
PROP00179,1106.0,2009.0,1,1.3,85,downtown,good,2,1,2.3,225926.0
PROP00180,998.0,5347.0,2,1.4,16,downtown,good,2,1,0.9,333395.0
PROP00181,2121.0,5099.0,5,2.9,53,rural,good,2,1,29.6,285193.0
PROP00182,2014.0,7863.0,3,1.9,74,downtown,poor,3,0,1.9,409299.0
PROP00183,2384.0,12148.0,4,2.1,31,riverside,excellent,2,1,14.8,574282.0
PROP00184,1649.0,7155.0,3,2.3,32,suburb_south,fair,1,1,6.3,284356.0
PROP00185,1013.0,2544.0,2,1.6,0,suburb_south,excellent,2,0,6.6,246243.0
PROP00186,506.0,2225.0,2,1.7,31,riverside,good,3,1,11.4,206396.0
PROP00187,3377.0,16824.0,7,4.0,56,rural,fair,2,0,30.3,417078.0
PROP00188,2090.0,11265.0,3,1.9,93,downtown,excellent,0,0,1.2,464495.0
PROP00189,1875.0,5884.0,3,2.5,50,suburb_south,good,3,0,7.9,281753.0
PROP00190,1953.0,3794.0,4,2.9,27,riverside,good,2,1,11.3,434309.0
PROP00191,1013.0,4410.0,2,2.1,77,suburb_north,excellent,1,1,3.6,228386.0
PROP00192,1363.0,3746.0,1,1.1,18,rural,excellent,3,0,22.5,230658.0
PROP00193,2759.0,14015.0,4,3.0,17,suburb_south,good,2,1,11.3,496728.0
PROP00194,2162.0,10065.0,4,2.3,50,downtown,excellent,2,1,1.4,582680.0
PROP00195,1380.0,,3,1.9,78,rural,fair,3,0,22.7,186505.0
PROP00196,1125.0,6597.0,2,2.0,20,rural,fair,0,0,18.1,189617.0
PROP00197,1516.0,6451.0,3,2.3,1,downtown,poor,2,0,2.7,386909.0
PROP00198,1627.0,9108.0,3,1.9,69,riverside,fair,1,0,15.0,339470.0
PROP00199,2927.0,13160.0,4,2.1,56,suburb_north,good,2,1,15.6,625616.0
PROP00200,1696.0,4347.0,2,1.4,65,downtown,fair,3,1,1.5,438295.0
PROP00201,1146.0,5910.0,3,1.7,38,suburb_north,good,2,0,11.4,240547.0
PROP00202,1768.0,8334.0,3,2.7,11,rural,poor,2,1,21.5,209924.0
PROP00203,1945.0,11490.0,2,1.8,31,downtown,good,2,0,3.0,563483.0
PROP00204,1096.0,3093.0,2,1.2,45,downtown,good,1,0,0.6,248305.0
PROP00205,2021.0,6465.0,4,2.1,41,riverside,fair,1,0,13.6,367214.0
PROP00206,2465.0,12942.0,2,1.2,85,suburb_north,good,0,0,3.4,376398.0
PROP00207,1876.0,3872.0,3,1.8,21,downtown,good,2,0,1.9,471619.0
PROP00208,1362.0,6074.0,2,1.4,29,suburb_north,good,2,0,10.6,237482.0
PROP00209,1509.0,6110.0,1,1.4,17,riverside,excellent,2,0,12.8,347909.0
PROP00210,888.0,2228.0,1,1.0,54,suburb_south,excellent,1,1,8.1,164788.0
PROP00211,1726.0,4304.0,3,2.9,77,riverside,poor,2,1,,266341.0
PROP00212,1971.0,10255.0,3,1.6,84,downtown,good,2,0,2.8,470615.0
PROP00213,1307.0,2437.0,2,1.0,21,suburb_south,fair,3,1,16.8,236397.0
PROP00214,2867.0,14154.0,4,3.2,41,riverside,good,2,0,13.1,661742.0
PROP00215,2236.0,10905.0,3,2.5,70,suburb_north,good,2,1,6.8,443963.0
PROP00216,814.0,3686.0,1,1.0,4,downtown,good,2,0,2.1,259585.0
PROP00217,825.0,2904.0,2,1.7,68,suburb_north,excellent,1,1,3.8,201474.0
PROP00218,1259.0,2416.0,2,1.7,12,suburb_north,good,0,0,7.1,273379.0
PROP00219,2665.0,13771.0,4,2.6,3,suburb_north,good,2,0,4.6,551964.0
PROP00220,2290.0,5331.0,3,1.5,10,rural,good,2,1,21.7,285017.0
PROP00221,2693.0,8023.0,4,1.5,84,suburb_south,fair,0,1,12.6,392831.0
PROP00222,1806.0,10432.0,3,1.7,65,suburb_south,poor,1,1,11.0,222918.0
PROP00223,1685.0,5169.0,3,2.7,75,downtown,good,2,1,1.7,417261.0
PROP00224,1114.0,3199.0,1,1.7,66,suburb_south,good,0,0,11.5,162185.0
PROP00225,1992.0,11729.0,1,1.0,76,suburb_south,fair,1,1,6.5,260675.0
PROP00226,1692.0,3656.0,2,1.1,47,rural,good,2,0,22.9,216793.0
PROP00227,1671.0,4136.0,2,1.6,77,suburb_north,fair,3,1,14.0,279163.0
PROP00228,2690.0,9794.0,4,2.7,5,riverside,good,1,1,10.5,642106.0
PROP00229,1731.0,8842.0,3,2.2,55,suburb_north,good,1,0,9.6,332464.0
PROP00230,2532.0,13962.0,5,2.0,72,suburb_south,fair,0,1,10.9,368393.0
PROP00231,927.0,4611.0,1,2.3,95,rural,poor,0,0,33.0,60768.0
PROP00232,3278.0,,6,4.0,34,suburb_south,fair,2,0,7.7,528604.0
PROP00233,1595.0,2984.0,2,1.4,17,riverside,good,1,1,15.8,333827.0
PROP00234,2189.0,9636.0,3,1.7,69,rural,excellent,1,0,36.8,299498.0
PROP00235,2276.0,5209.0,2,1.9,6,rural,fair,3,0,24.2,319730.0
PROP00236,1526.0,8581.0,2,1.7,74,suburb_north,good,2,1,14.1,295174.0
PROP00237,2250.0,12889.0,3,2.0,67,suburb_north,good,0,0,,384120.0
PROP00238,2279.0,7003.0,5,3.2,66,suburb_south,good,1,0,12.6,321582.0
PROP00239,1408.0,7429.0,3,2.0,28,rural,fair,2,0,23.6,216088.0
PROP00240,1414.0,6288.0,3,2.2,11,suburb_south,fair,2,1,17.6,230615.0
PROP00241,1825.0,4055.0,3,2.3,58,suburb_north,excellent,3,0,8.6,409146.0
PROP00242,1736.0,7520.0,2,1.6,34,suburb_south,excellent,0,1,9.1,404693.0
PROP00243,2566.0,15138.0,3,2.1,37,downtown,good,2,0,1.4,637707.0
PROP00244,2186.0,6763.0,4,3.1,18,downtown,good,0,1,2.2,580084.0
PROP00245,1761.0,3178.0,4,1.9,32,downtown,poor,1,0,1.9,359823.0
PROP00246,2133.0,12590.0,4,2.2,79,downtown,poor,2,0,1.1,403042.0
PROP00247,674.0,2385.0,1,1.0,85,riverside,poor,2,1,6.6,126001.0
PROP00248,1462.0,5278.0,2,1.2,33,suburb_north,good,0,1,5.2,273337.0
PROP00249,1958.0,9385.0,3,1.8,13,downtown,fair,1,0,1.1,432218.0
PROP00250,2413.0,10469.0,5,3.5,3,suburb_south,fair,2,0,10.6,427787.0
PROP00251,1910.0,5861.0,4,2.4,18,suburb_north,poor,0,1,13.7,358718.0
PROP00252,2602.0,5776.0,4,1.8,0,suburb_north,poor,1,0,17.3,386485.0
PROP00253,2277.0,12011.0,4,2.3,64,suburb_north,good,1,0,13.3,430943.0
PROP00254,1531.0,5864.0,3,2.0,61,downtown,good,0,1,0.7,396692.0
PROP00255,1723.0,7968.0,3,2.0,75,suburb_south,good,2,1,6.7,317978.0
PROP00256,2025.0,10964.0,3,2.2,31,downtown,good,0,1,3.2,553768.0
PROP00257,1553.0,2911.0,2,1.7,79,suburb_north,good,2,1,,307015.0
PROP00258,2642.0,14292.0,5,2.9,16,suburb_north,good,2,1,14.8,573675.0
PROP00259,1190.0,5899.0,2,1.0,22,suburb_north,fair,0,0,5.8,218173.0
PROP00260,1974.0,11403.0,4,2.3,87,downtown,fair,2,1,1.8,435493.0
PROP00261,2204.0,6130.0,5,2.8,84,suburb_north,excellent,1,0,9.2,422052.0
PROP00262,1628.0,5135.0,3,1.9,57,suburb_north,good,2,1,7.8,387708.0
PROP00263,1504.0,6886.0,3,2.3,58,downtown,good,2,1,0.7,375320.0
PROP00264,1758.0,10000.0,5,3.2,67,rural,fair,2,0,21.0,235993.0
PROP00265,2247.0,13413.0,4,2.8,79,suburb_north,fair,1,1,5.1,347561.0
PROP00266,1525.0,5414.0,2,1.3,22,downtown,poor,2,1,0.9,336017.0
PROP00267,1212.0,4926.0,2,2.1,6,suburb_south,excellent,2,1,4.3,305212.0
PROP00268,2433.0,6122.0,5,3.3,17,downtown,good,1,0,1.2,654160.0
PROP00269,2020.0,9524.0,2,1.5,34,riverside,poor,0,0,7.6,362924.0
PROP00270,2354.0,,3,2.2,22,downtown,fair,0,1,1.5,609210.0
PROP00271,2218.0,11432.0,4,2.2,50,suburb_south,fair,1,1,11.3,402286.0
PROP00272,2999.0,9754.0,5,2.2,13,rural,fair,1,0,24.8,377142.0
PROP00273,2413.0,14106.0,4,2.3,55,downtown,good,3,0,3.6,547623.0
PROP00274,1402.0,,3,2.3,68,suburb_north,good,3,1,5.8,267528.0
PROP00275,2059.0,7978.0,3,2.0,9,suburb_south,excellent,0,0,14.2,424972.0
PROP00276,1493.0,6165.0,1,1.0,27,rural,good,3,0,24.3,210697.0
PROP00277,1550.0,6283.0,2,1.2,51,suburb_north,excellent,2,0,4.2,340048.0
PROP00278,1023.0,5098.0,2,1.0,6,suburb_south,excellent,2,1,8.2,254410.0
PROP00279,1643.0,7164.0,3,2.6,63,downtown,excellent,3,1,2.2,531979.0
PROP00280,2100.0,4460.0,3,1.9,72,suburb_south,excellent,2,1,,346639.0
PROP00281,1764.0,4508.0,2,1.3,34,suburb_north,fair,2,0,7.3,298937.0
PROP00282,1195.0,4822.0,2,1.2,0,suburb_south,fair,1,1,6.6,220912.0
PROP00283,962.0,4538.0,2,2.0,48,downtown,fair,1,0,3.9,224211.0
PROP00284,2962.0,11728.0,4,2.9,83,suburb_south,good,3,1,16.4,538878.0
PROP00285,1979.0,6517.0,3,1.6,28,suburb_north,good,1,0,11.7,371787.0
PROP00286,1347.0,2714.0,1,1.5,81,suburb_south,fair,0,1,14.0,173980.0
PROP00287,2054.0,10477.0,3,1.9,83,riverside,excellent,1,1,18.0,476494.0
PROP00288,3004.0,11680.0,5,2.8,26,riverside,good,2,1,9.2,672143.0
PROP00289,2141.0,8699.0,5,2.9,57,rural,good,1,0,29.5,288144.0
PROP00290,500.0,1885.0,1,1.0,4,suburb_south,good,3,1,,156260.0
PROP00291,3259.0,9498.0,5,2.5,52,suburb_south,fair,1,1,16.8,453104.0
PROP00292,783.0,2318.0,2,1.8,84,downtown,good,3,0,3.4,175681.0
PROP00293,1687.0,3487.0,3,1.9,90,rural,fair,2,1,29.4,183623.0
PROP00294,1177.0,5617.0,1,1.2,19,suburb_south,good,2,1,13.7,263276.0
PROP00295,1393.0,4098.0,4,2.6,63,suburb_north,fair,1,1,6.8,286230.0
PROP00296,1956.0,5974.0,3,2.2,6,suburb_north,fair,1,1,6.8,454348.0
PROP00297,661.0,3948.0,1,1.0,26,riverside,good,2,0,11.2,185940.0
PROP00298,1750.0,5986.0,3,1.7,80,riverside,good,2,1,13.4,342826.0
PROP00299,2431.0,9590.0,4,2.7,61,riverside,good,1,0,5.4,511760.0
PROP00300,1336.0,4573.0,3,1.5,37,suburb_south,excellent,3,0,7.7,288817.0
PROP00301,1035.0,3124.0,1,1.1,92,suburb_north,poor,2,1,13.7,124379.0
PROP00302,1723.0,3144.0,3,1.4,72,rural,excellent,0,1,39.9,212552.0
PROP00303,1614.0,8700.0,3,2.0,2,suburb_south,poor,2,1,15.7,281370.0
PROP00304,1473.0,5579.0,3,2.6,7,suburb_south,fair,2,1,9.8,267338.0
PROP00305,1146.0,5528.0,2,1.8,60,suburb_south,excellent,2,0,11.8,241517.0
PROP00306,2086.0,12154.0,3,1.3,84,suburb_south,good,0,1,4.2,284723.0
PROP00307,2127.0,3854.0,4,2.8,15,riverside,good,1,0,17.3,470025.0
PROP00308,1214.0,5627.0,2,2.2,51,suburb_south,good,1,1,16.6,238469.0
PROP00309,1290.0,2965.0,2,2.6,78,rural,good,1,1,28.2,158491.0
PROP00310,1875.0,6981.0,4,2.7,82,rural,good,0,1,22.0,225634.0
PROP00311,1269.0,6797.0,3,1.5,61,suburb_north,fair,2,1,14.9,268459.0
PROP00312,1898.0,3986.0,3,2.2,95,downtown,good,2,1,1.7,398217.0
